Time (s)	Counter ()	ยว 2 (mm)
0.1556	14.99684	30.029192
0.1558	14.996202	30.024603
0.156	14.998753	30.030722
0.1562	14.995565	30.024603
0.1564	14.991102	30.024603
0.1566	14.99684	30.026133
0.1568	14.99429	29.917528
0.157	14.996202	28.976797
0.1572	14.995565	27.922871
0.1574	14.995565	26.758812
0.1576	14.993652	26.740456
0.1578	14.99174	25.721712
0.158	14.993652	25.053257
0.1582	14.996202	24.559181
0.1584	14.994927	24.476582
0.1586	14.99684	24.473522
0.1588	14.993015	24.476582
0.159	14.996202	24.895704
0.1592	14.993015	25.480028
0.1594	14.995565	26.364162
0.1596	14.99429	26.37793
0.1598	14.996202	27.508337
0.16	14.995565	28.494959
0.1602	14.994927	29.499935
0.1604	14.994927	30.021544
0.1606	14.996202	30.016954
0.1608	14.994927	30.027662
0.161	14.997478	30.026133
0.1612	14.993015	30.024603
0.1614	14.995565	30.013895
0.1616	14.996202	30.023073
0.1618	14.995565	30.021544
0.162	14.995565	30.032251
0.1622	14.998116	30.021544
0.1624	14.996202	30.023073
0.1626	14.995565	30.020014
0.1628	14.99429	30.023073
0.163	14.994927	30.021544
0.1632	14.993652	30.013895
0.1634	14.994927	30.016954
0.1636	14.992377	30.024603
0.1638	14.99684	30.024603
0.164	14.993015	30.026133
0.1642	14.99429	30.023073
0.1644	14.99429	30.024603
0.1646	14.994927	30.024603
0.1648	14.994927	30.026133
0.165	14.995565	30.026133
0.1652	14.99429	30.030722
0.1654	14.99684	30.021544
0.1656	14.994927	30.016954
0.1658	14.993015	30.021544
0.166	14.996202	30.021544
0.1662	14.99429	30.026133
0.1664	14.99429	30.024603
0.1666	14.996202	30.021544
0.1668	14.994927	30.026133
0.167	14.994927	29.610069
0.1672	14.996202	28.635685
0.1674	14.99429	27.468567
0.1676	14.995565	27.441032
0.1678	14.993652	26.387108
0.168	14.996202	25.810431
0.1682	14.997478	25.394367
0.1684	14.99684	25.065495
0.1686	14.99684	25.050198
0.1688	14.998116	24.808514
0.169	14.993652	25.313297
0.1692	14.996202	25.804312
0.1694	14.993015	26.446764
0.1696	14.994927	26.462061
0.1698	14.994927	27.36302
0.17	14.99684	28.371058
0.1702	14.996202	29.443338
0.1704	14.996202	30.024603
0.1706	14.995565	30.024603
0.1708	14.994927	30.030722
0.171	14.992377	30.027662
0.1712	15.000028	30.023073
0.1714	14.992377	30.016954
0.1716	14.994927	30.015425
0.1718	14.996202	30.016954
0.172	14.998753	30.018484
0.1722	14.991102	30.024603
0.1724	14.99429	30.023073
0.1726	14.99174	30.020014
0.1728	14.99684	30.023073
0.173	14.996202	30.024603
0.1732	14.99684	30.018484
0.1734	14.994927	30.016954
0.1736	15.001303	30.021544
0.1738	14.993652	30.018484
0.174	14.994927	30.020014
0.1742	14.993652	30.023073
0.1744	14.996202	30.021544
0.1746	14.996202	30.024603
