Time (s)	Counter ()	?? 2 (mm)
0.165	14.99684	24.143118
0.1652	14.99429	23.860134
0.1654	14.996202	23.638336
0.1656	14.995565	23.477722
0.1658	14.99429	23.460897
0.166	14.995565	23.413477
0.1662	14.993652	23.505257
0.1664	14.992377	23.667398
0.1666	14.99684	23.855545
0.1668	14.993652	23.941206
0.167	14.997478	24.210423
0.1672	14.991102	24.930885
0.1674	14.996202	26.269325
0.1676	14.998116	27.434914
0.1678	14.994927	28.040653
0.168	14.995565	28.577559
0.1682	14.998753	29.756916
0.1684	14.992377	30.067432
0.1686	14.998753	30.068962
0.1688	14.993652	30.073551
0.169	14.995565	30.070492
0.1692	14.99684	30.070492
0.1694	14.994927	30.064373
0.1696	14.99429	30.070492
0.1698	14.99684	30.07814
0.17	14.99174	30.068962
0.1702	14.99684	30.064373
0.1704	14.993652	30.068962
0.1706	14.995565	30.065903
0.1708	14.993652	30.072021
0.171	14.998116	30.072021
0.1712	14.996202	30.068962
0.1714	14.99429	30.073551
0.1716	14.998116	30.073551
0.1718	14.998116	30.065903
0.172	14.997478	30.075081
0.1722	14.995565	30.068962
0.1724	14.993652	30.068962
0.1726	14.99684	30.068962
0.1728	14.993015	30.065903
0.173	14.998753	30.065903
0.1732	14.995565	30.059784
0.1734	14.99684	30.073551
0.1736	14.991102	30.067432
0.1738	14.995565	29.400507
0.174	14.993652	29.062456
0.1742	14.995565	27.656713
0.1744	14.993652	26.58596
0.1746	14.996202	25.443316
0.1748	14.993015	25.215399
0.175	14.992377	24.205833
0.1752	14.99429	23.83107
0.1754	14.997478	23.65975
0.1756	14.99684	23.508316
0.1758	14.994927	23.442541
0.176	14.995565	23.248276
0.1762	14.995565	23.310991
0.1764	14.995565	23.474663
0.1766	14.997478	23.632217
0.1768	14.99429	23.675047
0.177	14.995565	23.954971
0.1772	14.992377	24.251722
0.1774	14.997478	25.6024
0.1776	14.994927	26.578314
0.1778	14.996202	27.236061
0.178	14.992377	27.863214
0.1782	14.99429	29.125172
0.1784	14.99174	30.065903
0.1786	14.99429	30.067432
0.1788	14.99429	30.059784
0.179	14.994927	30.068962
0.1792	14.99429	30.065903
0.1794	14.994927	30.067432
0.1796	14.99429	30.067432
0.1798	14.999391	30.068962
0.18	14.993015	30.064373
0.1802	14.997478	30.070492
0.1804	14.995565	30.072021
0.1806	14.993015	30.065903
0.1808	14.995565	30.064373
0.181	14.99684	30.064373
0.1812	14.99174	30.062843
0.1814	14.995565	30.067432
0.1816	14.993015	30.068962
0.1818	14.995565	30.062843
0.182	14.994927	30.065903
0.1822	14.99684	30.064373
0.1824	14.996202	30.059784
0.1826	14.998116	30.072021
0.1828	14.994927	30.073551
0.183	14.992377	30.065903
0.1832	14.992377	30.065903
0.1834	14.99684	30.067432
0.1836	14.993015	30.013895
0.1838	14.999391	29.525938
0.184	14.996202	28.87125
0.1842	14.995565	27.580231
0.1844	14.994927	26.517128
0.1846	14.996202	25.265877
0.1848	14.996202	25.264347
0.185	14.995565	24.207363
0.1852	14.993652	23.8326
0.1854	14.994927	23.638336
0.1856	14.99429	23.474663
0.1858	14.99429	23.470074
0.186	14.992377	23.306402
0.1862	14.994927	23.381355
0.1864	14.997478	23.471603
0.1866	14.992377	23.702581
0.1868	14.997478	23.696463
0.187	14.994927	23.890726
0.1872	14.995565	24.271608
0.1874	14.994927	25.77219
0.1876	14.995565	26.732807
0.1878	14.99429	27.268183
